Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Attribute,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
TBUT OR DISP FROM BUILDING U/$500,639 SPORTS CENTER DRIVE  ,Lexington,Kentucky,United States of America,Theft,11/8/2015 5:00,11,Closed,639 SPORTS CENTER DRIVE,20152650,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,639 SPORTS CENTER DRIVE
TBUT OR DISP BICYCLES U/$500/M,125 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,11/9/2015 14:00,11,Closed,125 AVENUE OF CHAMPIONS,20152665,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,125 AVENUE OF CHAMPIONS
TBUT OR DISP BICYCLES U/$500/M,301 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,11/11/2015 17:00,11,Open,301 HILLTOP AVE,20152809,TBUT OR DISP BICYCLES U/$500/M,Theft,Open,301 HILLTOP AVE
TBUT OR DISP BICYCLES U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,11/12/2015 15:30,11,Open,310 SOUTH LIMESTONE ST,20152668,TBUT OR DISP BICYCLES U/$500/M,Theft,Open,310 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,550 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,11/13/2015 1:20,11,Open,550 SOUTH LIMESTONE ST,20152670,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,550 SOUTH LIMESTONE ST
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",1000 SOUTH LIMESTONE ST   ,Lexington,Kentucky,United States of America,Theft,11/13/2015 6:00,11,Open,1000 SOUTH LIMESTONE ST ,20152669,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",Theft,Open,1000 SOUTH LIMESTONE ST 
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",1081 VETERANS DR  ,Lexington,Kentucky,United States of America,Theft,11/13/2015 13:00,11,Closed,1081 VETERANS DR,20152694,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",Theft,Closed,1081 VETERANS DR
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,11/13/2015 17:00,11,Closed,1000 SOUTH LIMESTONE ST,20152690,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,11/13/2015 21:00,11,Closed,310 SOUTH LIMESTONE ST,20152675,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,310 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,11/14/2015 22:24,11,Closed,1000 SOUTH LIMESTONE ST,20152679,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,11/14/2015 22:55,11,Closed,1000 SOUTH LIMESTONE ST,20152680,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES U/$500/M,PATTERSON DRIVE  ,Lexington,Kentucky,United States of America,Theft,11/16/2015 13:00,11,Closed,PATTERSON DRIVE,20152692,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,PATTERSON DRIVE
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,11/17/2015 17:00,11,Closed,310 SOUTH LIMESTONE ST,20152698,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
TBUT OR DISP CONTROLLED SUBSTANCE U/$500/F,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,11/18/2015 15:40,11,Open,310 SOUTH LIMESTONE ST,20152702,TBUT OR DISP CONTROLLED SUBSTANCE U/$500/F,Theft,Open,310 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,1210 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,11/19/2015 3:00,11,Open,1210 UNIVERSITY DR,20152707,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,1210 UNIVERSITY DR
"RECEIVING STOLEN PROPERTY U/$10,000/F X2",441 PENNSYLVANIA AVE  ,Lexington,Kentucky,United States of America,Theft,11/20/2015 0:25,11,Citation Issued,441 PENNSYLVANIA AVE,20152718,"RECEIVING STOLEN PROPERTY U/$10,000/F X2",Theft,Citation Issued,441 PENNSYLVANIA AVE
TBUT OR DISP BICYCLES U/$500/M,COLUMBIA TERRACE  ,Lexington,Kentucky,United States of America,Theft,11/20/2015 1:00,11,Closed,COLUMBIA TERRACE,20152719,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,COLUMBIA TERRACE
TBUT OR DISP BICYCLES U/$500/M,405 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,11/20/2015 13:00,11,Open,405 ROSE ST,20160087,TBUT OR DISP BICYCLES U/$500/M,Theft,Open,405 ROSE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,440 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,11/20/2015 18:40,11,Closed,440 HILLTOP AVE,20152723,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,440 HILLTOP AVE
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,11/20/2015 21:00,11,Closed,1000 SOUTH LIMESTONE ST,20152725,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
THEFT BY DECEPTION-INCLUDE COLD CHECKS U/$500/M,440 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,11/21/2015 3:00,11,Closed,440 HILLTOP AVE,20152746,THEFT BY DECEPTION-INCLUDE COLD CHECKS U/$500/M,Theft,Closed,440 HILLTOP AVE
TBUT OR DISP SHOPLIFTING U/$500/M,310 SOUTH LIMESTONE  ,Lexington,Kentucky,United States of America,Theft,11/21/2015 13:00,11,Open,310 SOUTH LIMESTONE,20152748,TBUT OR DISP SHOPLIFTING U/$500/M,Theft,Open,310 SOUTH LIMESTONE
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,11/22/2015 0:30,11,Closed,1540 UNIVERSITY DR,20152735,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,1540 UNIVERSITY DR
TBUT OR DISP BICYCLES U/$500/M,650 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,11/22/2015 22:19,11,Open,650 WOODLAND AVE,20152738,TBUT OR DISP BICYCLES U/$500/M,Theft,Open,650 WOODLAND AVE
TBUT OR DISP FROM BUILDING U/$500/M,325 HUGUELET DR  ,Lexington,Kentucky,United States of America,Theft,11/23/2015 5:00,11,Closed,325 HUGUELET DR,20152753,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,325 HUGUELET DR
TBUT OR DISP FROM BUILDING U/$500/M,401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,11/23/2015 17:30,11,Open,401 HILLTOP AVE,20152747,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,401 HILLTOP AVE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,11/24/2015 3:10,11,Open,401 HILLTOP AVE,20152754,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,401 HILLTOP AVE
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,11/24/2015 13:00,11,Closed,310 SOUTH LIMESTONE ST,20152763,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,11/24/2015 19:30,11,Open,1000 SOUTH LIMESTONE ST,20152758,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,321 COLUMBIA TERRACE  ,Lexington,Kentucky,United States of America,Theft,11/24/2015 19:30,11,Open,321 COLUMBIA TERRACE,20152795,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,321 COLUMBIA TERRACE
TBUT OR DISP FROM BUILDING U/$500/M,770 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,11/24/2015 21:00,11,Open,770 WOODLAND AVE,20152798,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,770 WOODLAND AVE
THEFT BY DECEPTION-INCLUDE COLD CHECKS U/$500/M,1737 RUSSELL CAVE RD  ,Lexington,Kentucky,United States of America,Theft,11/27/2015 12:55,11,Open,1737 RUSSELL CAVE RD,20152693,THEFT BY DECEPTION-INCLUDE COLD CHECKS U/$500/M,Theft,Open,1737 RUSSELL CAVE RD
"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD DEGREE/M",597 SOUTH UPPER ST  ,Lexington,Kentucky,United States of America,Theft,11/28/2015 11:30,11,Open,597 SOUTH UPPER ST,20152792,"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD DEGREE/M",Theft,Open,597 SOUTH UPPER ST
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,500 ALUMNI DR  ,Lexington,Kentucky,United States of America,Theft,11/28/2015 14:30,11,Closed,500 ALUMNI DR,20152781,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Closed,500 ALUMNI DR
"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 2ND DEGREE/M, TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F, CRIMINAL MISCHIEF 3RD DEGREE/M",500 ALUMNI DR  ,Lexington,Kentucky,United States of America,Theft,11/28/2015 17:00,11,Open,500 ALUMNI DR,20152779,"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 2ND DEGREE/M, TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F, CRIMINAL MISCHIEF 3RD DEGREE/M",Theft,Open,500 ALUMNI DR
"TBUT OR DISP AUTO - $500 OR MORE BUT U/$10,000/F, RECEIVING STOLEN PROPERTY U/$500/M, FLEEING OR EVADING POLICE, 2ND DEGREE (ON FOOT)/M X2",650 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,11/29/2015 7:31,11,Citation Issued,650 WOODLAND AVE,20152785,"TBUT OR DISP AUTO - $500 OR MORE BUT U/$10,000/F, RECEIVING STOLEN PROPERTY U/$500/M, FLEEING OR EVADING POLICE, 2ND DEGREE (ON FOOT)/M X2",Theft,Citation Issued,650 WOODLAND AVE
TBUT OR DISP BICYCLES U/$500/M,508 ADMINISTRATION DR  ,Lexington,Kentucky,United States of America,Theft,12/1/2015 13:00,12,Closed,508 ADMINISTRATION DR,20152801,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,508 ADMINISTRATION DR
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,12/1/2015 13:00,12,Closed,800 ROSE ST,20160037,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",Theft,Closed,800 ROSE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,506 ADMINISTRATION DR  ,Lexington,Kentucky,United States of America,Theft,12/1/2015 15:45,12,Open,506 ADMINISTRATION DR,20152804,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Open,506 ADMINISTRATION DR
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,12/1/2015 22:00,12,Open,800 ROSE ST,20152808,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,800 ROSE ST
TBUT OR DISP BICYCLES U/$500/M,1100 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,12/2/2015 18:00,12,Closed,1100 SOUTH LIMESTONE ST,20152851,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,1100 SOUTH LIMESTONE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,12/2/2015 19:58,12,Open,401 HILLTOP AVE,20152811,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,401 HILLTOP AVE
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,12/2/2015 22:43,12,Closed,1000 SOUTH LIMESTONE ST,20160095,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP ALL OTHERS U/$500/M,621 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,12/3/2015 0:00,12,Closed,621 SOUTH LIMESTONE ST,20152822,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed,621 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES,693 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,12/3/2015 13:00,12,Closed CSA,693 SPORTS CENTER DR,CSA20151203,TBUT OR DISP BICYCLES,Theft,Closed CSA,693 SPORTS CENTER DR
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,12/3/2015 16:05,12,Closed,401 HILLTOP AVE,20152826,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",Theft,Closed,401 HILLTOP AVE
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,12/3/2015 16:10,12,Closed,401 HILLTOP AVE,20152828,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",Theft,Closed,401 HILLTOP AVE
TBUT OR DISP FROM BUILDING U/$500/M,460 COOPER DR  ,Lexington,Kentucky,United States of America,Theft,12/3/2015 17:30,12,Closed,460 COOPER DR,20152820,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,460 COOPER DR
TBUT OR DISP BIBCYCLES U/$500/M,160 PATTERSON DR  ,Lexington,Kentucky,United States of America,Theft,12/4/2015 15:00,12,Closed,160 PATTERSON DR,20152832,TBUT OR DISP BIBCYCLES U/$500/M,Theft,Closed,160 PATTERSON DR
TBUT OR DISP FROM BUILDING U/$500/M,416 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,12/8/2015 10:00,12,Closed,416 COMPLEX DR,20152856,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,416 COMPLEX DR
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,12/8/2015 17:00,12,Closed,1000 SOUTH LIMESTONE ST,20152866,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,12/9/2015 21:45,12,Closed,310 SOUTH LIMESTONE ST,20152862,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F X2",401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,12/10/2015 5:05,12,Open,401 HILLTOP AVE,20152864,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F X2",Theft,Open,401 HILLTOP AVE
TBUT OR DISP FROM BUILDING U/$500/M,430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,12/10/2015 14:00,12,Open,430 COMPLEX DR,20152867,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,430 COMPLEX DR
TBUT OR DISP FROM BUILDING U/$500/M,430 VINE ST  ,Lexington,Kentucky,United States of America,Theft,12/11/2015 0:00,12,Open,430 VINE ST,20152938,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,430 VINE ST
"TBUT OR DISP ALL OTHERS U/$500

Property found and returned",693 SPORTS CENTER DRIVE  ,Lexington,Kentucky,United States of America,Theft,12/11/2015 20:00,12,Closed,693 SPORTS CENTER DRIVE,20152897,"TBUT OR DISP ALL OTHERS U/$500

Property found and returned",Theft,Closed,693 SPORTS CENTER DRIVE
TBUT OR DISP FROM BUILDING U/$500,310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,12/12/2015 23:00,12,Closed,310 SOUTH LIMESTONE STREET,20152891,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,310 SOUTH LIMESTONE STREET
TBUT OR DISP BICYCLES U/$500/M,220 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,12/13/2015 17:00,12,Closed,220 AVENUE OF CHAMPIONS,20160024,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,220 AVENUE OF CHAMPIONS
TBUT or DISP FROM BUILDING U/$500,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,12/15/2015 17:00,12,Closed,310 SOUTH LIMESTONE ST,20152902,TBUT or DISP FROM BUILDING U/$500,Theft,Closed,310 SOUTH LIMESTONE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",410 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,12/16/2015 4:00,12,Open,410 HILLTOP AVE,20152903,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Open,410 HILLTOP AVE
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",326 MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,12/16/2015 16:00,12,Open,326 MARTIN LUTHER KING BLVD,20152920,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Open,326 MARTIN LUTHER KING BLVD
TBUT OR DISP FROM BUILDING U/$500,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,12/17/2015 9:30,12,Open,310 SOUTH LIMESTONE ST,20152909,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,310 SOUTH LIMESTONE ST
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,12/17/2015 23:25,12,Closed,1000 SOUTH LIMESTONE ST,20160096,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,12/18/2015 13:05,12,Open,310 SOUTH LIMESTONE ST,20152918,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,310 SOUTH LIMESTONE ST
"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",533 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,12/18/2015 21:00,12,Open,533 SOUTH LIMESTONE ST,20152944,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",Theft,Open,533 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES U/$500/M,685 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,12/18/2015 21:00,12,Closed,685 SPORTS CENTER DR,20160089,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,685 SPORTS CENTER DR
TBUT OR DISP FROM BUILDING U/$500/M,740 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,12/22/2015 0:40,12,Closed,740 SOUTH LIMESTONE ST,20152941,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,740 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,12/22/2015 12:37,12,Closed,800 ROSE ST,20160082,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",842 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,12/23/2015 17:00,12,Closed,842 ROSE ST,20160168,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,842 ROSE ST
TBUT OR DISP SHOPLIFTING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,12/23/2015 19:28,12,Closed,800 ROSE ST,20152950,TBUT OR DISP SHOPLIFTING U/$500/M,Theft,Closed,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,750 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,12/26/2015 15:00,12,Closed,750 ROSE ST,20152965,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,750 ROSE ST
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",750 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,12/28/2015 13:00,12,Closed,750 ROSE ST,20152967,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",Theft,Closed,750 ROSE ST
"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",301 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,12/28/2015 17:30,12,Closed,301 HILLTOP AVE,20152970,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",Theft,Closed,301 HILLTOP AVE
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/1/2016 13:00,13,Closed,1000 SOUTH LIMESTONE ST,20160295,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/4/2016 2:00,13,Open,1000 SOUTH LIMESTONE ST,20160025,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,1000 SOUTH LIMESTONE ST
THEFT OF LEGEND DRUG 1ST OFFENSE OR VALUE U/$300/F,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/6/2016 16:21,13,Open,1000 SOUTH LIMESTONE ST,20160352,THEFT OF LEGEND DRUG 1ST OFFENSE OR VALUE U/$300/F,Theft,Open,1000 SOUTH LIMESTONE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/F,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,1/7/2016 13:30,13,Open,800 ROSE ST,20160041,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/F,Theft,Open,800 ROSE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,151 WASHINGTON AVE  ,Lexington,Kentucky,United States of America,Theft,1/8/2016 17:30,13,Open,151 WASHINGTON AVE,20160050,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Open,151 WASHINGTON AVE
THEFT OF A LEGEND DRUG 1ST OFFENSE OR VALUE U/$300/f,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/8/2016 20:31,13,Open,1000 SOUTH LIMESTONE ST,20160351,THEFT OF A LEGEND DRUG 1ST OFFENSE OR VALUE U/$300/f,Theft,Open,1000 SOUTH LIMESTONE ST
THEFT,447 PENNSLYVANIA AVE  ,Lexington,Kentucky,United States of America,Theft,1/11/2016 17:30,13,Closed CSA,447 PENNSLYVANIA AVE,CSA20160039,THEFT,Theft,Closed CSA,447 PENNSLYVANIA AVE
"THEFT OF LEGEND DRUG 1ST OFFENSE OR VALURE U/$300/F, TBUT OR DISP FROM BUILDING U/$500/M",326 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,1/13/2016 13:00,13,Open,326 SOUTH MARTIN LUTHER KING BLVD,20160128,"THEFT OF LEGEND DRUG 1ST OFFENSE OR VALURE U/$300/F, TBUT OR DISP FROM BUILDING U/$500/M",Theft,Open,326 SOUTH MARTIN LUTHER KING BLVD
THEFT,410 ROSE LN  ,Lexington,Kentucky,United States of America,Theft,1/13/2016 14:00,13,Closed,410 ROSE LN,CSA20160050,THEFT,Theft,Closed,410 ROSE LN
THEFT OR PROP MISLAID OR DELIVER BY MISTAKE/M,740 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/14/2016 13:00,13,Closed,740 SOUTH LIMESTONE ST,20160107,THEFT OR PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,740 SOUTH LIMESTONE ST
"TBUT OR DISP BICYCLE $500 OR MORE BUT U/10,000",430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,1/14/2016 23:00,13,Closed,430 COMPLEX DR,20160098,"TBUT OR DISP BICYCLE $500 OR MORE BUT U/10,000",Theft,Closed,430 COMPLEX DR
TBUT OR DISP BICYCLE U/$500,430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,1/15/2016 2:00,13,Open,430 COMPLEX DR,20160099,TBUT OR DISP BICYCLE U/$500,Theft,Open,430 COMPLEX DR
THEFT OR PROP MISLAID OR DELIVER BY MISTAKE/F,1135 RED MILE PL  ,Lexington,Kentucky,United States of America,Theft,1/15/2016 17:00,13,Closed,1135 RED MILE PL,20160109,THEFT OR PROP MISLAID OR DELIVER BY MISTAKE/F,Theft,Closed,1135 RED MILE PL
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH  LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/16/2016 12:45,13,Closed,1000 SOUTH  LIMESTONE ST,20160120,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH  LIMESTONE ST
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,1/18/2016 17:00,13,Closed,1540 UNIVERSITY DR,20160154,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Closed,1540 UNIVERSITY DR
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,410 ROSE LN  ,Lexington,Kentucky,United States of America,Theft,1/19/2016 4:30,13,Open,410 ROSE LN,20160138,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Open,410 ROSE LN
FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M,SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/19/2016 13:00,13,Open,SOUTH LIMESTONE ST,20160170,FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M,Theft,Open,SOUTH LIMESTONE ST
