Category,Case Number,Crime Date and Time,Report Date,Country,State,City,Location,Incident Description,Residential Occurance,Disposition
Theft,20132996,10/30/2013 - 12:30am,11/1/2013,United States,Kentucky,Lexington,121 CAMPUS DR,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",No,Closed
Theft,20132997,10/31/2013 - 5:45pm,11/1/2013,United States,Kentucky,Lexington,1540 UNIVERSITY DR,TBUT OR DISP ALL OTHERS U/$500/M,No,Open
Theft,20132982,10/30/2013 - 8:35am,10/30/2013,United States,Kentucky,Lexington,1401 SPORTS CENTER DR,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Open
Theft,20132983,10/28/2013 - 8:00pm,10/30/2013,United States,Kentucky,Lexington,343 SOUTH MLK BLVD,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",No,Closed
Theft,2013170170,10/24/2013 - 12:00am,10/29/2013,United States,Kentucky,Lexington,845 RED MILE RD,"CRIMINAL MISCHIEF 3RD/M, TBUT OR DISP CONTENTS FROM VEHICLE U/$500/M",No,Closed - Lexington Police Report
Theft,20132976,10/28/2013 - 10:00pm,10/29/2013,United States,Kentucky,Lexington,758 WOODLAND AVE,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,CSA201320019,10/28/2013 - 8:40pm,10/29/2013,United States,Kentucky,Lexington,430 COMPLEX DR,TBUT FROM BUILDING,No,Closed - CSA
Theft,20132978,10/29/2013 - 7:00pm,10/29/2013,United States,Kentucky,Lexington,430 COMPLEX DR,TBUT OR DISP FROM BUILDING U/$500/M,No,Open
Theft,20132979,10/29/2013 - 7:30pm,10/29/2013,United States,Kentucky,Lexington,LINDEN WALK,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed
Theft,20132965,10/27/2013 - 7:00am,10/28/2013,United States,Kentucky,Lexington,758 WOODLAND AVENUE,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Yes,Closed
Theft,20132968,10/24/2013 - 5:00pm,10/28/2013,United States,Kentucky,Lexington,705 SPORTS CENTER DR,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Open
Theft,20132972,10/21/2013 - 8:00am,10/28/2013,United States,Kentucky,Lexington,SCOTT STREET,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M; CRIMINAL MISCHIEF 3RD/M,No,Closed
